"OrderID","OrderDate","CustomerName","Country","ProductID","ProductName","Category","UnitPrice","Quantity","SalesRep","PaymentMethod","DiscountCode","OrderSource"
"10000","2025-02-24","j. wanjiru","Rwanda","P006","Running Shoes","Clothes","116.45","1","Bob","bank transfer","null","affiliate"
"10001","2024-08-03","m. mugabe","South Sudan","P012","Skirt","Footwear","38.53","2","Unknown","bank transfer","SUMMER","store"
"10002","2024-05-14","esther kamau","Rwanda","P004","Sunglasses","Apparel","80.88","1","Alice M.","Cash","NEW10","none"
"10003","2024-02-27","alice wanjiru","Kenya","P004","Sunglasses","Apparel","80.88","1","Unknown","Mpesa","NEW10","store"
"10004","2024-10-08","esther kamau","Rwanda","P006","Running Shoes","Clothes","116.45","1","Bob","Mpesa","null","mobile"
"10005","2025-08-02","alice okoth","Uganda","P008","Jeans","Footwear","112.30","1","Unknown","unknown","SUMMER","web"
"10006","2024-06-24","alice d wanjiru","Kenya","P014","Shorts","Footwear","62.57","1","Alice M.","Cash","null","Web"
"10007","2025-05-26","mark doe","Tanzania","P013","Blazer","Apparel","18.78","1","charles","bank transfer","null","store"
"10010","2024-08-22","chloe mutiso","rwanda","P020","Necklace","Apparel","12.82","1","Unknown","Credit Card","null","affiliate"
"10011","2024-01-08","linda karanja","Rwanda","P016","Backpack","Accessories","76.33","4","Unknown","unknown","NEW10","affiliate"
"10012","2025-10-20","owen kim","South Sudan","P006","Running Shoes","Clothes","232.90","2","Bob","Debit","SUMMER","store"
"10013","2024-07-22","alice mwangi","Kenya","P026","Beanie","Clothes","13.49","1","Unknown","bank transfer","null","store"
"10014","2024-12-18","tom okoth","Rwanda","P022","Boots","Footwear","10.34","1","charles","Cash","null","mobile"
"10015","2025-04-15","john otieno","Kenya","P010","Cap","Accessories","28.77","4","Alice M.","Mpesa","null","store"
"10016","2024-10-14","fatima b mwangi","Tanzania","P004","Sunglasses","Apparel","80.88","1","charles","Debit","null","web"
