OrderID,OrderDate,CustomerName,Country,Email,ProductID,ProductName,Category,UnitPrice,Quantity,SalesRep,PaymentMethod,DiscountCode,OrderSource,Notes
12335,17/04/2025,Amina Mugabe,Uga,amina.mugabe@hotmail.com,P030,Ankle Socks,Footwear ,83.25,1,Bob_Sales,Credit Card,SUMMER,web,ordered twice
11868,27-Dec-24,R. Mensah,Tanz,r..mensah@gmail.com.,P027,Sports Tee,Clothing,28.49,3,,,DISC-20,Web,
11292,20-Aug-25,M. Okoth,rwanda,m..okoth@mail,P013,Blazer,Apparrel,18.78,1,charles,mpesa,SUMMER,affiliate,manual entry
14010,07/12/2024,Mark 'B' Mwangi,Uganda,mark.b.mwangi@email.com,P029,Active Shorts,Apparel,27.63,1,charles,unknown,SUMMER,stores,giftwrap
10964,08/07/2025,Mary 'D' Otieno,Kenia,,P011,Dress,apparel,59.57,1,,Cash,NEW10,mobile,customer called in
11353,03/01/2024,Sophia 'D' Mugabe,Tanzania ,sophia.d.mugabe@urban-threads.com,,Unnamed product,,,1,,Cash,NEW10,,promo code used
10642,14/02/2025,L. Said,Tanz,l..said@hotmail.com,P015,Socks,Apparel,83.19,1,TEAM_A,unknown,DISC-20,web,customer called in
10137,23/04/2024,John Kamau,Tanzania ,john.kamau@mail,P023,Loafers,Apparel,116.66,1,,Cash,NEW10,,N/A
11262,,jane DOE,Uga,jane.doe@mail,P023,Loafers,Apparel,11.67,-3,TEAM_A,Credit Card,null,mobile,
14102,27/05/2025,grace MWANGI,Rwanda,grace.mwangi@email.com,P016,Backpack,Accessory,76.33,1,,mpesa,,Web,ordered twice
12861,24-Feb-25,B. Mwase,Tanzania ,b..mwase@urban-threadscom,P024,Sandals,apparel,48.32,3,,Debit,null,affiliate,customer called in
12427,27/04/2025,Esther 'B' Kim,Kenya*,,P026,Beanie,clothes,13.49,1,,,,Web,customer called in
12307,29/05/2025,paul WANJIRU,Kenya*,paul.wanjiru@email.com,P001,Denim Jacket,Accessory,139.9,1,,bank transfer,NEW10,STORE,customer called in
13930,15/06/2025,Fatima Mwangi,Tanzania ,fatima.mwangi@mail,P015,Socks,Apparel,83.19,1,Alice M.,unknown,NEW10,Web,??
11098,06/01/2024,Amina Ibrahim,South Sudan,amina.ibrahim@urban-threads.com,P027,Sports Tee,Clothing,28.49,2,Alice M.,,,Web,
12120,25/04/2024,G. Kamau,Tanzania,g..kamau@hotmail.com,P015,Socks,Apparel,83.19,1,Alice M.,Cash,SUMMER,mobile,REFUND
10183,28/05/2025,Moses Okoth,uganda,moses.okoth@gmail.com,P026,Beanie,clothes,13.49,1,Alice M.,Cash,DISC-20,web,??
11990,11/08/2024,Tom Mugabe,Rw,tom.mugabe@urban-threads.com,P006,Running Shoes,clothes,116.45,1,,unknown,,STORE,duplicate row
12526,28/09/2024,alice 'z' said,uganda,alice.z.said@urban-threads.com,P026,Beanie,clothes,13.49,1,,unknown,NEW10,affiliate,promo code used
???,2025-02-30,NULL,U G A N D A,,,misc,misc,-1,two,,,,,garbage
12821,25/03/2025,Alice Okoth,kenya,alice.okoth@email.com,P017,Watch,Accessories,76.48,1,,Debit,NEW10,STORE,giftwrap
10868,29/08/2025,Lydia Ibrahim,Rwanda,lydia.ibrahim@gmailcom,P002,Sneakers,Apparel,86.72,1,TEAM_A,unknown,DISC-20,web,
11765,08/06/2024,tom MUTISO,S. Sudan,tom.mutiso@mail,P026,Beanie,clothes,13.49,1,TEAM_A,unknown,SUMMER,mobile,promo code used
12455,10/05/2025,Sophia Karanja,Burundi,sophia.karanja@hotmail.com,P028,Leggings,Footwear,28.75,3,,bank transfer,null,stores,customer called in
12768,08/07/2024,Alice Kim,Uga,alice.kim@gmail.com,P013,Blazer,Apparrel,18.78,1,Bob_Sales,unknown,null,Web,
11937,25/10/2024,Amina Njoroge,Uganda,amina.njoroge@email.com,P026,Beanie,clothes,13.49,1,TEAM_A,Debit,null,Web,giftwrap
11130,06/01/2024,Brian Doe,uganda,brian.doe@email.com,P025,Windbreaker,apparel,90.77,1,,unknown,DISC-20,web,duplicate row
